statement,type,score,
2024.09.21. 오후 2시경/탕비실/직장 동료/2/사적인 관계를 강요하며 업무상 불이익을 암시했습니다./반복적으로 모욕행위가 발생함/동료들의 진술서,plaint,100,
2024.06.25. 오후 7시경/엘리베이터/직장 동료/4/회식 자리에서 특정 자리에 앉도록 강요했습니다./수차례 모욕행위가 이어짐/업무 이메일 내역,plaint,100,
2024.12.23. 오전 6시경/아파트 현관/일면식 없는/3/길을 막고 지나가지 못하게 했습니다./지속적으로 모욕행위가 반복됨/방범용 카메라 영상,plaint,100,
2024.06.03. 오전 12시경/아파트 현관/일면식 없는/5/지속적으로 쳐다보며 불쾌감을 주었습니다./지속적으로 모욕행위가 반복됨/휴대폰 촬영 영상,plaint,100,
2024.04.30. 오전 9시경/공원/일면식 없는/3/주변을 맴돌며 불안감을 조성했습니다./반복적으로 모욕행위가 발생함/112 신고 기록,plaint,100,
2024.06.25. 오전 4시경/도서관/일면식 없는/4/길을 막고 지나가지 못하게 했습니다./어느 정도 모욕행위가 지속됨/공공장소 CCTV 영상,plaint,100,
2024.05.19. 오후 8시경/휴게실/직장 동료/4/업무 평가와 관련하여 사적인 만남을 요구했습니다./반복적으로 모욕행위가 발생함/동료들의 진술서,plaint,100,
2024.01.01. 오후 3시경/사내 주차장/직장 동료/2/외모에 대한 부적절한 발언을 했습니다./지속적으로 모욕행위가 반복됨/업무 문서 사본,plaint,100,
2024.11.17. 오후 1시경/수영장/일면식 없는/2/길을 막고 지나가지 못하게 했습니다./반복적으로 모욕행위가 발생함/SNS 메시지 캡처,plaint,100,
2024.12.28. 오후 2시경/사내 주차장/직장 동료/2/업무 평가와 관련하여 사적인 만남을 요구했습니다./지속적으로 모욕행위가 반복됨/인사팀 면담 기록,plaint,100,
2024.07.25. 오후 9시경/공원/일면식 없는/4/큰 소리로 위협적인 발언을 했습니다./수차례 모욕행위가 이어짐/목격자 연락처,plaint,100,
2024.04.29. 오후 12시경/카페/일면식 없는/4/지속적으로 쳐다보며 불쾌감을 주었습니다./어느 정도 모욕행위가 지속됨/목격자 연락처,plaint,100,
2024.09.01. 오후 1시경/워크숍/직장 동료/2/다른 직원들 앞에서 성차별적 비하 발언을 했습니다./반복적으로 모욕행위가 발생함/회사 전화 통화 기록,plaint,100,
2024.03.07. 오후 2시경/휴게실/직장 동료/5/강제로 술을 권하며 불쾌한 행동을 했습니다./수차례 모욕행위가 이어짐/업무용 메신저 대화 내역,plaint,100,
2024.06.12. 오전 8시경/프린터실/직장 동료/4/업무 시간 외 지속적으로 연락을 시도했습니다./지속적으로 모욕행위가 반복됨/업무용 메신저 대화 내역,plaint,100,
2024.02.23. 오후 5시경/탕비실/직장 동료/2/다른 직원들 앞에서 성차별적 비하 발언을 했습니다./반복적으로 모욕행위가 발생함/인사팀 면담 기록,plaint,100,
2024.10.26. 오전 11시경/지하철/일면식 없는/5/원치 않는 대화를 강요했습니다./반복적으로 모욕행위가 발생함/휴대폰 촬영 영상,plaint,100,
2024.04.05. 오전 10시경/마트/일면식 없는/5/반복적으로 시선을 강요했습니다./반복적으로 모욕행위가 발생함/목격자 증언,plaint,100,
2024.03.22. 오전 10시경/수영장/일면식 없는/4/지속적으로 쳐다보며 불쾌감을 주었습니다./지속적으로 모욕행위가 반복됨/목격자 연락처,plaint,100,
2024.02.19. 오전 12시경/아파트 주차장/일면식 없는/5/원치 않는 대화를 강요했습니다./수차례 모욕행위가 이어짐/블랙박스 영상,plaint,100,
2024.05.12. 오후 10시경/구내식당/직장 동료/2/성차별적 발언으로 불쾌감을 주었습니다./지속적으로 모욕행위가 반복됨/업무 이메일 내역,plaint,100,
2024.03.18. 오후 4시경/주택가 골목길/일면식 없는/4/집까지 따라왔습니다./어느 정도 모욕행위가 지속됨/차량 블랙박스 영상,plaint,100,
2024.05.15. 오전 12시경/영화관/일면식 없는/2/지속적으로 쳐다보며 불쾌감을 주었습니다./반복적으로 모욕행위가 발생함/SNS 메시지 캡처,plaint,100,
2024.06.29. 오전 2시경/공원/일면식 없는/2/반복적으로 접근을 시도했습니다./반복적으로 모욕행위가 발생함/방범용 카메라 영상,plaint,100,
2024.03.18. 오전 11시경/아파트 엘리베이터/일면식 없는/2/큰 소리로 위협적인 발언을 했습니다./수차례 모욕행위가 이어짐/목격자 증언,plaint,100,
2024.06.05. 오후 8시경/휴게실/직장 동료/4/불필요한 사적인 만남을 강요했습니다./어느 정도 모욕행위가 지속됨/업무용 메신저 대화 내역,plaint,100,
2024.05.20. 오전 5시경/사무실/직장 동료/5/업무 분담에서 의도적인 차별을 했습니다./반복적으로 모욕행위가 발생함/사내 CCTV 영상,plaint,100,
2024.10.14. 오전 10시경/사무실/직장 동료/3/업무 시간 외 지속적으로 연락을 시도했습니다./지속적으로 모욕행위가 반복됨/사내 CCTV 영상,plaint,100,
2024.01.28. 오후 2시경/야유회 장소/직장 동료/4/업무 분담에서 의도적인 차별을 했습니다./어느 정도 모욕행위가 지속됨/동료들의 진술서,plaint,100,
